nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
oven-sh/bun,bun,https://github.com/oven-sh/bun,89712,Zig,7752,3248,11000
bitcoin/bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,89030,C++,16421,7673,24094
gin-gonic/gin,gin,https://github.com/gin-gonic/gin,88446,Go,1231,860,2091
microsoft/playwright,playwright,https://github.com/microsoft/playwright,88188,TypeScript,16908,2800,19708
gohugoio/hugo,hugo,https://github.com/gohugoio/hugo,87950,Go,3340,3122,6462
ChatGPTNextWeb/NextChat,NextChat,https://github.com/ChatGPTNextWeb/NextChat,87919,TypeScript,893,1659,2552
mermaid-js/mermaid,mermaid,https://github.com/mermaid-js/mermaid,87862,TypeScript,2686,614,3300
django/django,django,https://github.com/django/django,87431,Python,10478,10275,20753
opencv/opencv,opencv,https://github.com/opencv/opencv,87368,C++,13638,3388,17026
home-assistant/core,core,https://github.com/home-assistant/core,86943,Python,85272,13181,98453
3b1b/manim,manim,https://github.com/3b1b/manim,86643,Python,665,253,918
sveltejs/svelte,svelte,https://github.com/sveltejs/svelte,86487,JavaScript,6645,1431,8076
punkpeye/awesome-mcp-servers,awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,86413,,2253,2119,4372
louislam/uptime-kuma,uptime-kuma,https://github.com/louislam/uptime-kuma,86346,JavaScript,1734,708,2442
microsoft/ML-For-Beginners,ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,85681,Jupyter Notebook,471,186,657
MunGell/awesome-for-beginners,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,85330,,482,1185,1667
modelcontextprotocol/servers,servers,https://github.com/modelcontextprotocol/servers,85202,TypeScript,1198,1633,2831
